六	[連体詞]	6つの
六	[名詞]	6
六	[略号]	(音楽)基準音の11半音上の音、(移動ドで)シの音
七	[連体詞]	7つの
七	[名詞]	7
八	[連体詞]	8つの
八	[名詞]	8
大	[状態動詞]	大きい
大月島	[名詞]	リナエスト本島、ブリェーシャン島
大月島		リナエスト・オルス共和国を構成する島のうち面積が最大の島。
大遠小周	[成句]	大きな目標とは手の届かないところにあり、小さな目標はすぐ近くにあるため、身の回りの人々やことがらを大切にすることが大事であるということ。
大律	[名詞]	マーヤック、官民分離憲法
大律		国家の役割の規定と市民の権利の規定が同一文書に入らない憲法を指す、憲法学の用語。
於	[前置詞]	～に、～へ、～より
於術	[名詞]	割り算
百	[連体詞]	100の
百	[名詞]	100
万	[連体詞]	一万の
万	[名詞]	一万
叫	[動詞]	叫ぶ
叫二字	[名詞]	パイグ語の発音現象の一つ。<span class="inline-linzklar">善日</span>【善日】などに見られる。
御	[接頭辞]	(名前などの前につけて)偉大なる～、～様
御	[接頭辞]	(状態動詞の前につけて)～化する
長	[状態動詞]	長い
長短	[名詞]	長いものと短いもの
足	[名詞]	足、(植物の)根
足錘	[名詞]	足かせ
足錘		ラネーメにおいては抑圧の象徴と考えられることもある。
足錘貧樽	[名詞]	人によって何画で書くか差があるような字のこと。
生	[動詞]	生まれる、出る、作る、生じさせる、出す
生銭	[動詞]	買う、購入する
生銭	我生銭於此	私はこれを買う。
生銭	我生此之銭	私はこれを買う。
生美	[名詞]	創作
道	[名詞]	<span style="color:#ff0000;">道、選択肢</span>
行	[名詞]	動き、行い、変化
行	[動詞]	動く、行動する、変化する、変化させる、～になる
行	[前置詞]	～へ
船	[名詞]	舟、(特にセッカイクの)船
川	[名詞]	川
笑	[動詞]	笑う、咲く
寝	[動詞]	寝る
壊	[動詞]	壊す、壊れる、死ぬ、殺す
急	[動詞]	急ぐ
急	[副詞]	急いで、素早く
急行	[動詞]	走る
遅	[状態動詞]	遅い
遅	[副詞]	ゆっくりと、のろのろと
増	[詞]	
龍	[名詞]	龍
龍静	[名詞]	バニラ
龍酒	[名詞]	シナモン、ニッキ、肉桂
銭	[名詞]	お金、ズー（東諸島共和国連合の通貨単位）
店	[名詞]	店
