無	[副詞]	～しない
無	[状態動詞]	不存在だ、存在しない
無	[間投詞]	いいえ
無手	[状態動詞]	持っていない
無手	[節要求動詞]	～したことがない
無真	[名詞]	嘘、偽り、誤った情報
無人	[名詞]	誰も～ない（英語 nobody, no one）
無抗行処	[成句]	向かうところ敵なし
無抗行処	[名詞]	セッカイクの役のひとつ
風無	[状態動詞]	つまらない
銭無	[状態動詞]	お金がない
亦無	[文末助詞]	～か否か
心無之	[副詞]	何気なく
上下終無	[構文]	永久に
上下終無	我上下心我之母父終無	私は永久に両親を愛する。
筆兵無傾	[成句]	書記官と兵士の力が均衡していて国家が安泰であること。緯武経文。
筆兵無傾		国の維持に重要とされ、筆と槍を図案化したシンボルが存在し、アイル共和国国章などに用いられている。
筆兵無傾	[名詞]	セッカイクの役の 1 つ
毛	[名詞]	(動植物やブラシの)毛
毛獣	[名詞]	(雅語)羊
羊毛	[名詞]	羊毛
草	[名詞]	草
草処	[名詞]	草地
草手	[名詞]	葉っぱ、葉
草手	草手下行於秋	葉は秋に落ちる。
草茶	[名詞]	葉っぱを煮出した茶
草膠	[名詞]	寒天
草色	[名詞]	薄い緑色、黄緑色
癒草	[名詞]	薬草
皇草	[名詞]	タムコト（麻薬の一種）
茶	[名詞]	茶	
茶銭処	[名詞]	茶店
花茶	[名詞]	花を煮出した茶
種茶	[名詞]	種を煮出した茶（コーヒーなど）
遊	[動詞]	遊ぶ
遊刀	[名詞]	おもちゃ、玩具
遊術	[名詞]	遊び
遊足行	[動詞]	散歩する
銭遊	[動詞]	賭け事をする
